CPU	 1	 0
CPU	 3	 0
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0
CPU	 19	 0
CPU	 21	 0
CPU	 23	 0
CPU	 25	 0
CPU	 27	 0
CPU	 29	 0
CPU	 31	 0
CPU	 33	 0.01665
CPU	 35	 0
CPU	 37	 0
CPU	 39	 0
CPU	 41	 0
CPU	 43	 0
CPU	 45	 0
CPU	 47	 0
CPU	 49	 0
IO	 0	 50.05
IO	 2	 50.0667
IO	 4	 50.0833
IO	 6	 50.1
IO	 8	 50.1166
IO	 10	 50.1167
IO	 12	 50.1334
IO	 14	 50.15
IO	 16	 50.15
IO	 18	 50.1667
IO	 20	 50.1667
IO	 22	 50.1666
IO	 24	 50.1833
IO	 26	 50.1667
IO	 28	 50.1667
IO	 30	 50.1667
IO	 32	 50.1666
IO	 34	 50.15
IO	 36	 50.1333
IO	 38	 50.1333
IO	 40	 50.1333
IO	 42	 50.1167
IO	 44	 50.1
IO	 46	 50.0667
IO	 48	 50.05
