CPU	 1	 0
CPU	 3	 0
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0
CPU	 19	 0
CPU	 21	 0
CPU	 23	 0
CPU	 25	 0
CPU	 27	 0.016675
CPU	 29	 0
CPU	 31	 0
CPU	 33	 0
CPU	 35	 0.016675
CPU	 37	 0
CPU	 39	 0
CPU	 41	 0
CPU	 43	 0
CPU	 45	 0
CPU	 47	 0
CPU	 49	 0.016675
CPU	 51	 0.01665
CPU	 53	 0
CPU	 55	 0.01665
CPU	 57	 0
CPU	 59	 0
CPU	 61	 0.016675
CPU	 63	 0
CPU	 65	 0.016675
CPU	 67	 0
CPU	 69	 0
CPU	 71	 0.01665
CPU	 73	 0.016675
CPU	 75	 0
CPU	 77	 0
CPU	 79	 0
CPU	 81	 0
CPU	 83	 0
CPU	 85	 0.016675
CPU	 87	 0.01665
CPU	 89	 0
CPU	 91	 0
CPU	 93	 0.016675
CPU	 95	 0.01665
CPU	 97	 0
CPU	 99	 0.016675
IO	 0	 99.7833
IO	 2	 99.8166
IO	 4	 99.8667
IO	 6	 99.9
IO	 8	 99.9333
IO	 10	 99.95
IO	 12	 99.9834
IO	 14	 100.017
IO	 16	 100.033
IO	 18	 100.067
IO	 20	 100.1
IO	 22	 100.117
IO	 24	 100.133
IO	 26	 100.167
IO	 28	 100.167
IO	 30	 100.2
IO	 32	 100.217
IO	 34	 100.217
IO	 36	 100.233
IO	 38	 100.233
IO	 40	 100.25
IO	 42	 100.25
IO	 44	 100.267
IO	 46	 100.267
IO	 48	 100.267
IO	 50	 100.267
IO	 52	 100.267
IO	 54	 100.267
IO	 56	 100.267
IO	 58	 100.267
IO	 60	 100.233
IO	 62	 100.233
IO	 64	 100.217
IO	 66	 100.217
IO	 68	 100.2
IO	 70	 100.183
IO	 72	 100.167
IO	 74	 100.15
IO	 76	 100.117
IO	 78	 100.1
IO	 80	 100.067
IO	 82	 100.05
IO	 84	 100.033
IO	 86	 100
IO	 88	 99.9667
IO	 90	 99.9334
IO	 92	 99.9
IO	 94	 99.8667
IO	 96	 99.8167
IO	 98	 99.8
